task_identifier,task_app,task_app_CHN,task_language,task_description,task_difficulty,golden_steps,key_component_final,adb_app,adb_home_page,is_cross_app
weibo_5,weibo,微博,CHN,搜索用户名为“腥味猫罐”的用户，关注该用户，浏览其发布的一条微博，并在这条微博下进行评论：“hello world”（并且发送出去）,3,10,"['腥味猫罐', '发送成功']",com.weico.international,com.weico.international.appicon_white,N
xiaohongshu_0,xiaohongshu,小红书,CHN,搜索一种名为“减肥食谱”的笔记。,1,3,"['减肥食谱', '全部', '用户', '筛选']",com.xingin.xhs,com.xingin.xhs.index.v2.IndexActivityV2,N
xiaohongshu_1,xiaohongshu,小红书,CHN,搜索一种名为“减肥食谱”的笔记，按照热度排序。,2,6,"['减肥食谱', '全部', '用户', '筛选']",com.xingin.xhs,com.xingin.xhs.index.v2.IndexActivityV2,N
xiaohongshu_2,xiaohongshu,小红书,CHN,搜索一种名为“减肥食谱”的笔记，按照热度排序，观看其中一个热度最高的笔记，点赞该笔记，收藏该笔记，然后编辑评论“很有用，谢谢“，停留在评论发送页面不要发送。,3,11,"['发送', '很有用', '谢谢']",com.xingin.xhs,com.xingin.xhs.index.v2.IndexActivityV2,N
xiaohongshu_3,xiaohongshu,小红书,CHN,在首页切换至视频类别，观看一条推荐的视频笔记。,1,2,"['关注', '说点什么']",com.xingin.xhs,com.xingin.xhs.index.v2.IndexActivityV2,N
xiaohongshu_4,xiaohongshu,小红书,CHN,在首页切换至视频类别，观看一条推荐的视频笔记点赞该视频，关注视频发布者，并查看视频评论区。,2,5,['评论'],com.xingin.xhs,com.xingin.xhs.index.v2.IndexActivityV2,N
xiaohongshu_5,xiaohongshu,小红书,CHN,在首页观看一条推荐的视频笔记，点赞该视频，关注视频发布者，并查看视频评论区，随后查看该用户的其他笔记，并收藏其中两篇笔记。,3,10,"['已关注', '收藏成功']",com.xingin.xhs,com.xingin.xhs.index.v2.IndexActivityV2,N
xieheyiyuan_0,xieheyiyuan,协和医院,CHN,进入预约挂号界面,1,3,"['挂号', '日期', '门诊']",com.hundsun.qy.hospitalcloud.bj.xhhosp.hsyy,com.hundsun.main.activity.SplashActivity,N
xieheyiyuan_1,xieheyiyuan,协和医院,CHN,进入预约挂号界面，打开“东单院区普通门诊”，查看基本外科医生列表,2,7,['基本外科'],com.hundsun.qy.hospitalcloud.bj.xhhosp.hsyy,com.hundsun.main.activity.SplashActivity,N
xieheyiyuan_2,xieheyiyuan,协和医院,CHN,进入预约挂号界面，打开“东单院区普通门诊”，查看基本外科医生列表，选择一个医生，查看医生介绍主页并点击常规咨询,3,10,"['医生主页', '咨询']",com.hundsun.qy.hospitalcloud.bj.xhhosp.hsyy,com.hundsun.main.activity.SplashActivity,N
xieheyiyuan_3,xieheyiyuan,协和医院,CHN,在便民服务中点击专科专病,1,3,['专科专病'],com.hundsun.qy.hospitalcloud.bj.xhhosp.hsyy,com.hundsun.main.activity.SplashActivity,N
xieheyiyuan_4,xieheyiyuan,协和医院,CHN,在便民服务中点击专科专病，选择放射治疗科，点击胸部肿瘤组查看该病简介,2,6,"['胸部肿瘤组', '简介']",com.hundsun.qy.hospitalcloud.bj.xhhosp.hsyy,com.hundsun.main.activity.SplashActivity,N
xieheyiyuan_5,xieheyiyuan,协和医院,CHN,在便民服务中点击专科专病，选择放射治疗科，点击胸部肿瘤组查看该病简介后点击专家介绍，选择一个专家查看其主页并点击常规咨询选项,3,9,['咨询'],com.hundsun.qy.hospitalcloud.bj.xhhosp.hsyy,com.hundsun.main.activity.SplashActivity,N
youdaodict_0,youdaodict,有道词典,CHN,点击学习，搜索“高三”,1,4,"['高三', '图文']",com.youdao.dict,com.youdao.dict.activity.DictSplashActivity,N
youdaodict_1,youdaodict,有道词典,CHN,点击学习，搜索“高三”，进入图文分类点击一篇图文，查看评论,2,7,"['评论', '发布']",com.youdao.dict,com.youdao.dict.activity.DictSplashActivity,N
youdaodict_2,youdaodict,有道词典,CHN,点击学习，搜索“高三”，进入图文分类点击一篇图文，查看评论后发表评论“hello world”,3,10,"['hello','world']",com.youdao.dict,com.youdao.dict.activity.DictSplashActivity,N
zhihu_0,zhihu,知乎,CHN,搜索“编程猫”,1,3,"['编程猫', '实时']",com.zhihu.android,com.zhihu.android.app.ui.activity.LauncherActivity,N
zhihu_1,zhihu,知乎,CHN,搜索“编程猫”，搜索用户，并进入结果中一个用户的主页，查看其最新发布的文章,2,7,"['编程猫', '关注']",com.zhihu.android,com.zhihu.android.app.ui.activity.LauncherActivity,N
zhihu_2,zhihu,知乎,CHN,搜索“编程猫”，搜索用户，并进入结果中一个用户的主页，查看其最新发布的文章，点赞该文章，点击收藏，并在评论区发表评论“hello world”,3,13,"['编程猫', '评论']",com.zhihu.android,com.zhihu.android.app.ui.activity.LauncherActivity,N
zhihu_3,zhihu,知乎,CHN,搜索“人工智能”专栏,1,4,"['人工智能', '专栏']",com.zhihu.android,com.zhihu.android.app.ui.activity.LauncherActivity,N
zhihu_4,zhihu,知乎,CHN,搜索“人工智能”专栏，查看一篇专栏中的文章并评论“hello world”,2,10,['评论'],com.zhihu.android,com.zhihu.android.app.ui.activity.LauncherActivity,N
zhihu_5,zhihu,知乎,CHN,搜索“人工智能”专栏，查看一篇专栏中的文章并评论“hello world”，并将该文章收藏,3,13,['更改'],com.zhihu.android,com.zhihu.android.app.ui.activity.LauncherActivity,N
